Keyword,Subjects,Location,Volume,KD,Current position,Position change,Previous URL,Current URL,top_3,top_10,everything_else,serp_position,dropped,increased,stable,position_shifts
montreal cooking class,Other,montreal,40,3,27,-7,https://www.superprof.ca/lessons/cooking/montreal/,https://www.superprof.ca/lessons/cooking/montreal/,0,0,1,Everything else,1,0,0,decreased
first class personal training,Other,brampton,40,0,27,New,,https://www.superprof.ca/lessons/sports-coach/brampton/,0,0,1,Everything else,0,1,0,
stand up comedy classes,Other,canada,40,5,27,-25,https://www.superprof.ca/lessons/stand-up-comedy/toronto/,https://www.superprof.ca/lessons/stand-up-comedy/canada/,0,0,1,Everything else,1,0,0,decreased
ielts classes online,Other,brampton,40,23,26,29,https://www.superprof.ca/lessons/ielts/online/,https://www.superprof.ca/lessons/ielts/brampton/,0,0,1,Everything else,0,1,0,increased
meditation classes mississauga,Other,mississauga,40,0,26,-6,https://www.superprof.ca/lessons/meditation/mississauga/,https://www.superprof.ca/lessons/meditation/mississauga/,0,0,1,Everything else,1,0,0,decreased
hobby classes montreal,Other,montreal,40,0,26,New,,https://www.superprof.ca/lessons/drawing/montreal/,0,0,1,Everything else,0,1,0,
how much do yoga teachers make,category 8,calgary,40,0,25,New,,https://www.superprof.ca/lessons/yoga/calgary/,0,0,1,Everything else,0,1,0,
swimming lessons ottawa for adults,category 5,ottawa,40,0,24,12,https://www.superprof.ca/lessons/swimming/ottawa/,https://www.superprof.ca/lessons/swimming/ottawa/,0,0,1,Everything else,0,1,0,increased
how much should i charge for tutoring,category 4,montreal,40,2,23,New,,https://www.superprof.ca/lessons/all-tutors/montreal/,0,0,1,Everything else,0,1,0,
esl classes surrey,Other,surrey,40,6,23,-10,https://www.superprof.ca/lessons/esl/surrey/,https://www.superprof.ca/lessons/esl/surrey/,0,0,1,Everything else,1,0,0,decreased
belly dancing classes toronto,Other,toronto,40,0,23,New,,https://www.superprof.ca/lessons/belly-dancing/toronto/,0,0,1,Everything else,0,1,0,
free french classes london ontario,category 2,london,40,1,23,New,,https://www.superprof.ca/lessons/french/london/,0,0,1,Everything else,0,1,0,
coding lessons,Other,canada,40,90,22,13,https://www.superprof.ca/lessons/coding/canada/,https://www.superprof.ca/lessons/coding/canada/,0,0,1,Everything else,0,1,0,increased
beginner boxing classes near me,Other,vancouver,40,8,22,-15,https://www.superprof.ca/lessons/boxing/toronto/,https://www.superprof.ca/lessons/boxing/vancouver/,0,0,1,Everything else,1,0,0,decreased
bollywood dance class near me,Other,canada,40,15,22,-14,https://www.superprof.ca/lessons/bollywood-dancing/canada/,https://www.superprof.ca/lessons/indian-dance/canada/,0,0,1,Everything else,1,0,0,decreased
coding classes winnipeg,Other,winnipeg,40,0,22,-3,https://www.superprof.ca/lessons/computer-programming/winnipeg/,https://www.superprof.ca/lessons/computer-programming/winnipeg/,0,0,1,Everything else,1,0,0,decreased
tutorship quebec,category 4,quebec,40,0,21,-6,https://www.superprof.ca/lessons/all-tutors/quebec/,https://www.superprof.ca/lessons/all-tutors/quebec/,0,0,1,Everything else,1,0,0,decreased
skate lessons near me,Other,canada,40,0,21,-14,https://www.superprof.ca/lessons/rollerskating/canada/,https://www.superprof.ca/lessons/ice-skating/canada/,0,0,1,Everything else,1,0,0,decreased
electric guitar lessons for beginners,Other,canada,40,0,21,44,https://www.superprof.ca/lessons/electric-guitar/canada/,https://www.superprof.ca/lessons/electric-guitar/canada/beginner/,0,0,1,Everything else,0,1,0,increased
drawing classes vancouver,Other,vancouver,40,2,21,-8,https://www.superprof.ca/lessons/drawing/vancouver/,https://www.superprof.ca/lessons/drawing/vancouver/,0,0,1,Everything else,1,0,0,decreased
mma class,Other,canada,40,34,21,4,https://www.superprof.ca/lessons/mma/canada/,https://www.superprof.ca/lessons/mma/canada/,0,0,1,Everything else,0,1,0,increased
painting class montreal,Other,montreal,40,0,21,New,,https://www.superprof.ca/lessons/painting/montreal/,0,0,1,Everything else,0,1,0,
kickboxing classes vancouver,Other,vancouver,40,12,21,New,,https://www.superprof.ca/lessons/kickboxing/vancouver/,0,0,1,Everything else,0,1,0,
school tutoring,Other,vancouver,40,2,20,22,https://www.superprof.ca/lessons/all-tutors/markham/,https://www.superprof.ca/lessons/academic-tutoring/vancouver/,0,0,1,Everything else,0,1,0,increased
typing teacher,Other,canada,40,81,20,-3,https://www.superprof.ca/lessons/typing/canada/,https://www.superprof.ca/lessons/typing/canada/,0,0,1,Everything else,1,0,0,decreased
cantonese lessons,Other,canada,40,9,20,10,https://www.superprof.ca/lessons/cantonese/canada/,https://www.superprof.ca/lessons/cantonese/canada/,0,0,1,Everything else,0,1,0,increased
boxing lessons toronto,Other,toronto,40,11,20,2,https://www.superprof.ca/lessons/boxing/toronto/,https://www.superprof.ca/lessons/boxing/toronto/,0,0,1,Everything else,0,1,0,increased
excel lessons,Other,canada,40,69,20,-3,https://www.superprof.ca/lessons/microsoft-excel/canada/,https://www.superprof.ca/lessons/microsoft-excel/canada/beginner/,0,0,1,Everything else,1,0,0,decreased
squash lessons toronto,Other,toronto,40,0,20,New,,https://www.superprof.ca/lessons/squash/toronto/,0,0,1,Everything else,0,1,0,
music production classes,Other,toronto,40,26,20,New,,https://www.superprof.ca/lessons/music-production/toronto/,0,0,1,Everything else,0,1,0,
roller skating lessons toronto,Other,canada,40,3,19,New,,https://www.superprof.ca/lessons/rollerskating/canada/,0,0,1,Everything else,0,1,0,
horse lessons near me,Other,canada,40,1,19,-7,https://www.superprof.ca/lessons/horseback-riding/canada/,https://www.superprof.ca/lessons/horseback-riding/canada/,0,0,1,Everything else,1,0,0,decreased
cooking classes niagara falls,Other,niagara-falls,40,1,19,-8,https://www.superprof.ca/lessons/cooking/niagara-falls/,https://www.superprof.ca/lessons/cooking/niagara-falls/,0,0,1,Everything else,1,0,0,decreased
music theory lessons,Other,canada,40,48,18,-12,https://www.superprof.ca/lessons/music-theory/montreal/,https://www.superprof.ca/lessons/music-theory/canada/,0,0,1,Everything else,1,0,0,decreased
tutoring website,category 4,montreal,40,84,17,78,https://www.superprof.ca/lessons/academic-tutoring/online/,https://www.superprof.ca/lessons/all-tutors/montreal/,0,0,1,Everything else,0,1,0,increased
beginner golf lessons near me,Other,canada,40,0,17,New,,https://www.superprof.ca/lessons/golf/canada/,0,0,1,Everything else,0,1,0,
boxing class vancouver,Other,vancouver,40,28,17,,https://www.superprof.ca/lessons/boxing/vancouver/,https://www.superprof.ca/lessons/boxing/vancouver/,0,0,1,Everything else,0,0,1,stable
piano classes for kids,category 10,canada,40,6,17,-6,https://www.superprof.ca/lessons/piano/canada/children/,https://www.superprof.ca/lessons/piano/canada/children/,0,0,1,Everything else,1,0,0,decreased
english classes abbotsford,category 3,abbotsford,40,4,17,5,https://www.superprof.ca/lessons/academic-english/abbotsford/,https://www.superprof.ca/lessons/academic-english/abbotsford/,0,0,1,Everything else,0,1,0,increased
tailoring classes near me,Other,toronto,40,1,17,-14,https://www.superprof.ca/lessons/sewing/montreal/,https://www.superprof.ca/lessons/sewing/toronto/,0,0,1,Everything else,1,0,0,decreased
online vocal lessons,category 6,online,40,9,16,-5,https://www.superprof.ca/lessons/singing/toronto/,https://www.superprof.ca/lessons/singing/online/,0,0,1,Everything else,1,0,0,decreased
salsa lessons,Other,canada,40,15,16,-10,https://www.superprof.ca/lessons/salsa/canada/,https://www.superprof.ca/lessons/salsa/canada/,0,0,1,Everything else,1,0,0,decreased
painting classes brampton,Other,brampton,40,0,16,-5,https://www.superprof.ca/lessons/drawing/brampton/,https://www.superprof.ca/lessons/painting/brampton/,0,0,1,Everything else,1,0,0,decreased
piano lessons newmarket,category 10,newmarket,40,0,15,-9,https://www.superprof.ca/lessons/piano/newmarket/,https://www.superprof.ca/lessons/piano/newmarket/,0,0,1,Everything else,1,0,0,decreased
bollywood dance classes mississauga,Other,mississauga,40,4,15,11,https://www.superprof.ca/lessons/bollywood-dancing/brampton/,https://www.superprof.ca/lessons/indian-dance/mississauga/beginner/,0,0,1,Everything else,0,1,0,increased
french classes mississauga,category 2,mississauga,40,0,15,-6,https://www.superprof.ca/lessons/french/mississauga/,https://www.superprof.ca/lessons/french/mississauga/,0,0,1,Everything else,1,0,0,decreased
prenatal yoga classes,Other,canada,40,0,15,11,https://www.superprof.ca/lessons/prenatal-yoga/canada/,https://www.superprof.ca/lessons/prenatal-yoga/canada/,0,0,1,Everything else,0,1,0,increased
french language classes calgary,category 2,calgary,40,0,15,New,,https://www.superprof.ca/lessons/french/calgary/,0,0,1,Everything else,0,1,0,
oxford tutor,category 4,oxford,40,7,14,New,,https://www.superprof.ca/lessons/all-tutors/oxford/,0,0,1,Everything else,0,1,0,
diving lessons near me,Other,canada,40,14,14,15,https://www.superprof.ca/lessons/scuba-diving/canada/,https://www.superprof.ca/lessons/diving/canada/,0,0,1,Everything else,0,1,0,increased
singing lessons regina,category 6,regina,40,0,14,-8,https://www.superprof.ca/lessons/singing/regina/,https://www.superprof.ca/lessons/singing/regina/,0,0,1,Everything else,1,0,0,decreased
